Exercise Seq,Exercise Name,Exercise Id,Exercise Type,Exercise Type Num,Attempts Before Proficiency,Hints Before Proficiency,Time Before Proficiency,Time Before Proficiency (Hrs),Corrects Attempts,Attempts After Proficiency,Hints After Proficiency,Time After Proficiency,Time After Proficiency (Hrs)
1,BubsortPRO,5,Proficiency ,0,926,66,88240,24.51,738,49,0,11334,3.15
2,BubsortSumm,6,Summary,2,2131,104,147170,40.88,1123,426,26,46884,13.02
3,InssortSumm,9,Summary,2,2979,123,168419,46.78,1382,745,45,65344,18.15
4,InssortPRO,10,Proficiency ,0,1203,145,98093,27.25,821,153,12,31290,8.69
5,SortIntroSumm,14,Summary,2,1488,74,78427,21.79,727,374,41,41924,11.65
6,SelsortSumm,15,Summary,2,3333,184,222978,61.94,1397,695,65,157715,43.81
7,SelsortPRO,19,Proficiency ,0,1025,86,140994,39.17,754,77,10,105551,29.32
8,IntroSumm,20,Summary,2,1506,89,157482,43.75,1113,390,10,87829,24.40
9,BTLeafPROG,32,Programming,1,894,0,152798,42.44,135,95,0,11017,3.06
10,ArryLstSumm,44,Summary,2,962,47,25133,6.98,615,190,11,7317,2.03
11,alistDeletePRO,48,Proficiency ,0,791,20,18551,5.15,725,34,0,4384,1.22
12,alistInsertPRO,49,Proficiency ,0,920,62,29261,8.13,749,56,3,4185,1.16
13,ListADTPROG,52,Programming,1,786,0,128297,35.64,411,50,0,5794,1.61
14,llistInsertPRO,63,Proficiency ,0,1180,333,68405,19.00,725,36,27,26012,7.23
15,LstLnkdSumm,66,Summary,2,2601,0,57634,16.01,1338,435,0,11363,3.16
16,llistRemovePRO,67,Proficiency ,0,1779,456,84271,23.41,878,71,4,4688,1.30
17,ListOverhead,73,FIB,3,1305,1277,118082,32.80,516,122,179,51918,14.42
18,StckQSumm,86,Summary,2,1436,0,33577,9.33,857,126,0,2330,0.65
19,LstChptrSumm,107,Summary,2,1435,69,13246,3.68,908,229,33,2331,0.65
20,StTFreltn,111,TF,4,2841,258,128662,35.74,1250,238,45,25130,6.98
21,StTFeqvlnc,112,TF,4,1146,131,50700,14.08,588,148,37,23485,6.52
