user_id,gaming,total_time,time_pro,total_attempts,attempts_pro,total_hints,hints_pro,total_correct,total_incorrect,attempts_aft,time_aft,hints_aft
78,195,50134,36810,847,8.84507,39,0.422535,553,294,3.08451,194.859,0.126761
128,160,22483,22708,965,13.5211,156,2.19718,450,515,0.0704225,1.26761,0
133,269,104659,57877,942,8.67606,240,2.23944,562,380,4.59155,670.225,1.14085
340,368,45222,14491,1648,14.2817,381,3.09859,728,920,8.92958,435.662,2.26761
144,171,160502,125645,799,9.6338,149,1.30986,425,374,1.61972,515.521,0.788732
80,144,22401,22343,765,10.4085,163,2.29577,419,346,0.366197,5.1831,0
350,109,21836,21904,674,9.39437,24,0.338028,396,278,0.0985916,3.32394,0
278,135,36062,36483,505,7.01408,12,0.169014,370,135,0.0985916,1.21127,0
81,226,30604,18876,1126,14.0423,121,1.66197,504,622,1.8169,168.873,0.0422535
83,157,31963,21238,933,11.1549,58,0.380282,475,458,1.98592,155.211,0.43662
71,139,41122,22119,1051,13.3521,208,2.57746,487,564,1.4507,271.972,0.352113
187,178,46378,46818,1007,14.1127,151,2.08451,442,565,0.0704225,2.95775,0.0422535
249,119,27593,22160,534,7.05634,20,0.28169,397,137,0.464789,80.8592,0
191,149,55961,56679,810,11.2676,38,0.535211,438,372,0.140845,0.971831,0
175,201,24227,23982,1020,13.9859,144,1.38028,444,576,0.380282,8.14085,0.647887
79,263,201628,73612,1551,14.1268,189,1.30986,712,839,7.71831,1817.44,1.35211
240,223,366257,24104,1189,12.8873,114,1.25352,592,597,3.85915,4823.77,0.352113
171,142,74433,72632,691,8.49296,168,1.91549,436,255,1.23944,39.5775,0.450704
353,148,45587,42350,828,10.6056,122,1.59155,455,373,1.05634,53.8732,0.126761
84,134,131098,128528,1038,13.3944,205,2.29577,476,562,1.22535,61.338,0.591549
224,204,82201,45496,1634,16.7887,325,2.70423,699,935,6.22535,525.873,1.87324
82,282,132175,108094,1705,20.9577,269,2.84507,569,1136,3.05634,360.31,0.943662
188,217,225701,228744,1041,14.507,80,1.12676,451,590,0.15493,1.88732,0
159,176,48923,45457,1272,16.6056,102,1.28169,471,801,1.30986,57.7042,0.15493
215,190,138908,98369,1111,12,157,1.73239,532,579,3.64789,590.211,0.478873
158,243,78675,61382,1209,13.1127,248,2.71831,560,649,3.91549,255.577,0.774648
89,124,25165,23574,660,9.22535,48,0.676056,400,260,0.0704225,27.0141,0
247,182,35945,21542,1163,13.6901,235,2.90141,540,623,2.69014,207.07,0.408451
189,252,326400,36544,1574,19.5915,216,2.76056,545,1029,2.57746,4089.63,0.28169
217,161,122842,118330,730,9.4507,72,0.929577,430,300,0.830986,86.6901,0.084507
335,156,40379,40430,701,9.78873,68,0.957747,402,299,0.084507,7.19718,0
253,246,201764,152926,942,11.1549,84,1.11268,500,442,2.11268,717.775,0.0704225
346,142,50963,59105,812,8.88732,85,0.901408,493,319,2.5493,-103.113,0.295775
73,115,56255,56903,714,9.91549,207,2.91549,403,311,0.140845,2,0
150,209,111553,67296,1115,8.40845,227,1.98592,703,412,7.29577,636.507,1.21127
291,224,333303,301585,697,7.47887,28,0.380282,462,235,2.33803,505.732,0.0140845
70,387,130055,106975,2069,17.0845,167,1.47887,852,1217,12.0563,346,0.873239
209,165,37611,32274,712,9.70423,70,0.816901,405,307,0.323944,81.4789,0.169014
164,216,119488,113411,1025,14.3099,28,0.380282,442,583,0.126761,107.775,0.0140845
190,302,71718,33865,1524,18.493,186,2.47887,563,961,2.97183,539.761,0.140845
76,284,172366,133985,1395,16.9859,146,1.84507,544,851,2.66197,566.789,0.211268
87,248,39426,38152,789,10.7746,95,1.14085,340,449,0.338028,25.4085,0.197183
283,254,50149,39876,1723,21.8451,222,2.30986,602,1121,2.42254,152.493,0.816901
141,366,49657,40541,2186,20.8451,236,2.61972,833,1353,9.94366,136.324,0.704225
163,132,41874,42385,854,11.9014,65,0.915493,426,428,0.126761,1.09859,0
304,321,64034,53858,1051,13.4507,228,2.73239,471,580,1.35211,153.859,0.478873
243,126,25560,25264,1071,14.338,113,1.56338,490,581,0.746479,9.11268,0.028169
100,274,43057,42762,808,11.1831,57,0.802817,427,381,0.197183,12.5211,0
234,220,57810,42421,1376,13.8169,177,2.12676,721,655,5.56338,225.042,0.366197
280,220,27242,23789,1357,16.0141,145,1.8169,500,857,3.09859,53.2817,0.225352
338,97,23656,23878,783,11,57,0.802817,414,369,0.028169,1.5493,0
146,290,75589,33395,1490,14.1549,317,3.97183,689,801,6.83099,600.817,0.492958
68,156,105655,70224,1129,13.0423,181,2.01408,535,594,2.85915,512.761,0.535211
294,163,15730,13578,1028,13.1268,72,0.887324,402,626,1.35211,32.9718,0.126761
327,161,47798,43062,753,9.71831,151,1.77465,432,321,0.887324,75.1268,0.352113
277,191,25978,24740,1601,21.5493,237,2.84507,527,1074,1,22.2817,0.492958
75,119,19707,18363,1115,15.2817,77,1.08451,446,669,0.422535,22.5211,0
465,102,16418,16201,459,6.3662,21,0.225352,267,192,0.0985916,6.22535,0.0704225
332,127,23223,23107,712,9.76056,43,0.605634,432,280,0.267606,6.15493,0
279,218,68985,59747,1291,13.6479,386,4.61972,599,692,4.53521,141.803,0.816901
59,230,36529,36787,1489,20.8873,349,4.91549,514,975,0.084507,3.56338,0
94,230,161836,127646,808,8.92958,185,2.16901,473,335,2.4507,506.521,0.43662
210,145,39399,38531,910,12.662,140,1.92958,447,463,0.15493,19.7606,0.0422535
130,261,22798,20069,998,12.493,21,0.28169,490,508,1.56338,42.3662,0.0140845
221,195,18539,13177,877,10.4225,128,0.802817,397,480,1.92958,78.0986,1
293,76,102646,103438,472,5.8169,20,0.225352,330,142,0.830986,9.08451,0.056338
404,141,26615,26859,1179,16.2535,106,1.49296,497,682,0.352113,1.8169,0
287,64,8710,8658,516,6.83099,52,0.661972,194,322,0.43662,2.42254,0.0704225
226,86,19192,18719,401,5.53521,44,0.619718,165,236,0.112676,10.3239,0
398,76,67627,45583,302,3.5493,91,0.957747,161,141,0.704225,319.394,0.323944
129,130,39675,39041,757,9.88732,105,1.21127,441,316,0.774648,16.5634,0.267606
212,142,24187,21512,795,10.6056,258,3.35211,416,379,0.591549,41.8873,0.28169
193,309,72399,25648,1613,15.6197,342,3.64789,733,880,7.09859,663.479,1.16901
305,158,100372,100780,843,11.7887,177,2.46479,410,433,0.084507,13.9718,0.028169
235,218,117624,99745,1036,10.3099,141,1.60563,586,450,4.28169,271.324,0.380282
126,245,52271,43207,1210,14.1831,200,1.71831,504,706,2.85915,136.113,1.09859
252,119,24078,24289,583,7.97183,81,1.09859,399,184,0.239437,1.77465,0.0422535
